query,network_distribution,runtime
q3-v1.4,H,19.606487283000003
q3-v1.4,H,21.0565868
q53-v1.4,A,44.296459353
q53-v1.4,A,45.283932918
q53-v1.4,A,36.887190413000006
q53-v1.4,A,34.616418380000006
q53-v1.4,A,71.087264031
q53-v1.4,A,35.040331093
q53-v1.4,A,32.092369189
q53-v1.4,A,58.484713447000004
q53-v1.4,A,38.466640084
q53-v1.4,A,31.145679016
q53-v1.4,A,40.114481403000006
q53-v1.4,A,39.626879661
q53-v1.4,A,39.261408542
q53-v1.4,A,34.37607238
q53-v1.4,A,37.37009914899999
q53-v1.4,A,37.25976129800001
q53-v1.4,A,30.750821820000006
q53-v1.4,A,42.278557293
q53-v1.4,A,46.41503216300001
q53-v1.4,A,29.540496995999998
q53-v1.4,A,38.811888115
